customer_id,gender,senior_citizen,tenure,monthly_charges,total_charges,contract_type,internet_service,num_support_calls,payment_method,has_partner,has_dependents,churned,contract_months
PETRA-00000,Male,0,5,73.27,0.00,One year,DSL,0,Bank transfer,0,0,0,12
PETRA-00001,Female,0,3,47.64,103.75,Two year,Fiber optic,1,Mailed check,0,1,0,24
PETRA-00002,Female,0,71,43.64,3689.25,Two year,Fiber optic,3,Bank transfer,1,0,0,24
PETRA-00003,Male,0,43,55.38,4168.77,Two year,Fiber optic,2,Credit card,1,0,0,24
PETRA-00004,Male,1,6,108.00,1464.39,Two year,Fiber optic,2,Credit card,0,0,0,24
PETRA-00005,Female,0,6,30.51,150.03,Month-to-month,DSL,0,Credit card,0,0,0,1
PETRA-00006,Male,1,52,68.62,8495.18,Month-to-month,DSL,0,Electronic check,1,0,0,1
PETRA-00007,Female,0,1,66.59,103.04,One year,DSL,2,Bank transfer,1,0,0,12
PETRA-00008,Male,0,19,48.73,1453.55,Month-to-month,Fiber optic,0,Credit card,0,0,0,1
PETRA-00009,Male,0,22,69.72,389.94,One year,DSL,2,Mailed check,0,0,0,12
PETRA-00010,Female,0,0,48.37,36.27,One year,DSL,1,Electronic check,0,0,0,12
PETRA-00011,Female,1,26,120.10,5091.06,Month-to-month,No,0,Credit card,1,1,1,1
PETRA-00012,Female,0,0,75.02,0.00,One year,Fiber optic,3,Credit card,1,0,1,12
PETRA-00013,Female,0,33,58.39,0.00,One year,Fiber optic,1,Electronic check,1,0,0,12
PETRA-00014,Female,0,15,51.35,850.63,One year,Fiber optic,2,Electronic check,0,0,0,12
PETRA-00015,Female,0,11,106.39,994.23,Two year,DSL,1,Mailed check,1,0,0,24
PETRA-00016,Female,0,13,82.77,2088.54,Month-to-month,DSL,3,Credit card,1,0,1,1
PETRA-00017,Male,0,61,74.61,2836.18,Two year,No,0,Electronic check,0,0,0,24
PETRA-00018,Female,0,9,47.83,218.03,Month-to-month,Fiber optic,3,Credit card,1,0,0,1
PETRA-00019,Male,1,1,87.20,0.00,Month-to-month,Fiber optic,1,Bank transfer,0,0,0,1
PETRA-00020,Female,0,72,56.13,2258.97,Month-to-month,No,1,Electronic check,0,0,0,1
PETRA-00021,Male,0,2,59.36,340.34,Two year,DSL,2,Electronic check,1,0,0,24
PETRA-00022,Male,0,5,53.13,0.00,Two year,Fiber optic,2,Credit card,0,1,0,24
PETRA-00023,Female,0,4,37.75,9.86,Month-to-month,DSL,2,Credit card,1,0,1,1
PETRA-00024,Female,1,20,69.47,1336.54,One year,Fiber optic,1,Electronic check,1,0,0,12
PETRA-00025,Female,0,6,73.73,1053.83,Two year,No,1,Credit card,0,0,0,24
PETRA-00026,Male,0,17,55.00,1420.34,Two year,DSL,0,Bank transfer,0,0,0,24
PETRA-00027,Female,0,31,45.08,2915.99,Month-to-month,No,0,Credit card,1,0,0,1
PETRA-00028,Female,1,8,83.15,485.89,Month-to-month,Fiber optic,3,Credit card,0,0,0,1
PETRA-00029,Male,0,25,75.07,50.54,Month-to-month,Fiber optic,2,Electronic check,1,0,0,1
PETRA-00030,Male,0,39,77.16,2062.98,Two year,DSL,3,Credit card,0,0,0,24
PETRA-00031,Male,0,4,53.81,196.46,Month-to-month,Fiber optic,0,Bank transfer,0,0,0,1
PETRA-00032,Male,0,36,58.74,2130.92,Month-to-month,Fiber optic,3,Electronic check,1,0,0,1
PETRA-00033,Female,0,1,42.19,25.07,Two year,DSL,1,Credit card,0,0,0,24
PETRA-00034,Female,0,13,103.14,1895.30,Month-to-month,Fiber optic,0,Electronic check,1,1,1,1
PETRA-00035,Male,0,5,49.77,124.83,One year,DSL,3,Bank transfer,1,0,0,12
PETRA-00036,Female,1,2,75.02,52.66,Two year,No,0,Electronic check,0,1,0,24
PETRA-00037,Female,0,7,88.39,97.00,Month-to-month,DSL,2,Electronic check,1,1,0,1
PETRA-00038,Male,0,18,61.33,1262.32,Month-to-month,Fiber optic,3,Electronic check,1,0,1,1
PETRA-00039,Female,0,24,56.96,1468.17,Month-to-month,Fiber optic,2,Bank transfer,1,0,0,1
PETRA-00040,Male,1,31,114.37,6253.95,One year,Fiber optic,2,Electronic check,0,1,0,12
PETRA-00041,Female,0,66,50.96,7005.56,Month-to-month,No,3,Electronic check,0,0,0,1
PETRA-00042,Female,0,19,70.16,206.41,Month-to-month,No,1,Bank transfer,1,0,0,1
PETRA-00043,Male,0,13,87.52,1156.44,Month-to-month,DSL,2,Credit card,1,0,0,1
PETRA-00044,Male,0,72,78.09,4814.43,Month-to-month,Fiber optic,1,Credit card,1,0,0,1
PETRA-00045,Female,0,8,62.86,0.00,Two year,Fiber optic,2,Credit card,1,1,0,24
PETRA-00046,Male,0,6,27.44,103.75,Month-to-month,DSL,0,Credit card,1,1,0,1
PETRA-00047,Female,0,18,96.68,3648.67,One year,Fiber optic,2,Mailed check,0,1,0,12
PETRA-00048,Female,0,10,30.38,169.24,Two year,DSL,1,Mailed check,1,1,0,24
PETRA-00049,Female,0,1,77.46,13.54,One year,No,1,Credit card,0,0,0,12
PETRA-00050,Female,1,4,92.02,354.65,One year,Fiber optic,1,Mailed check,0,0,0,12
PETRA-00051,Male,0,25,105.87,4335.71,Month-to-month,Fiber optic,1,Electronic check,1,1,0,1
PETRA-00052,Male,0,33,30.23,784.76,Month-to-month,Fiber optic,1,Bank transfer,0,1,0,1
PETRA-00053,Male,0,17,121.92,2257.98,Month-to-month,No,0,Mailed check,0,1,0,1
PETRA-00054,Male,0,0,38.70,0.00,Month-to-month,Fiber optic,4,Electronic check,1,1,1,1
PETRA-00055,Male,0,7,99.52,975.76,Two year,No,4,Bank transfer,1,0,0,24
PETRA-00056,Female,0,19,64.87,1423.39,Month-to-month,No,0,Credit card,1,0,1,1
PETRA-00057,Male,0,8,64.44,834.76,Month-to-month,DSL,0,Credit card,1,1,0,1
PETRA-00058,Female,0,15,38.42,0.00,Two year,DSL,3,Mailed check,0,0,0,24
PETRA-00059,Female,1,6,35.70,168.85,Two year,DSL,1,Credit card,1,0,0,24
PETRA-00060,Female,1,27,67.63,3058.36,One year,Fiber optic,1,Credit card,0,0,0,12
PETRA-00061,Female,0,8,99.90,487.61,Month-to-month,Fiber optic,0,Credit card,0,0,0,1
PETRA-00062,Male,0,16,85.99,1424.97,One year,DSL,2,Bank transfer,0,0,0,12
PETRA-00063,Female,0,7,61.81,308.62,Month-to-month,No,2,Bank transfer,0,0,0,1
PETRA-00064,Male,0,3,57.16,125.26,One year,DSL,0,Mailed check,1,0,0,12
PETRA-00065,Male,0,0,95.72,93.37,One year,Fiber optic,0,Bank transfer,0,0,1,12
PETRA-00066,Female,0,38,43.99,6.06,Two year,Fiber optic,1,Mailed check,1,0,0,24
PETRA-00067,Male,0,27,65.57,1708.20,Month-to-month,Fiber optic,1,Bank transfer,0,0,0,1
PETRA-00068,Male,0,10,81.46,958.11,Two year,DSL,0,Bank transfer,0,0,0,24
PETRA-00069,Male,1,72,76.02,9067.97,Month-to-month,Fiber optic,0,Credit card,1,0,0,1
PETRA-00070,Female,0,39,55.11,1965.97,Month-to-month,Fiber optic,2,Credit card,1,0,0,1
PETRA-00071,Male,0,22,69.46,2564.64,Two year,DSL,2,Mailed check,1,0,0,24
PETRA-00072,Male,0,13,70.61,882.78,Month-to-month,Fiber optic,0,Electronic check,0,0,0,1
PETRA-00073,Male,0,17,110.66,2038.56,Month-to-month,Fiber optic,1,Bank transfer,0,1,1,1
PETRA-00074,Female,0,23,102.63,2494.79,Month-to-month,Fiber optic,0,Mailed check,1,0,0,1
PETRA-00075,Male,1,9,82.60,1084.34,Month-to-month,Fiber optic,4,Electronic check,1,0,1,1
PETRA-00076,Male,0,22,76.59,2324.01,Month-to-month,Fiber optic,5,Credit card,0,0,0,1
PETRA-00077,Male,0,3,80.41,53.28,One year,No,2,Electronic check,1,0,0,12
PETRA-00078,Female,0,56,35.20,2270.49,Month-to-month,Fiber optic,1,Electronic check,1,1,0,1
PETRA-00079,Female,0,17,81.00,1898.08,Two year,DSL,0,Electronic check,1,1,0,24
PETRA-00080,Female,0,2,114.34,462.66,One year,Fiber optic,0,Credit card,0,0,1,12
PETRA-00081,Male,0,62,86.29,1572.59,Two year,DSL,1,Credit card,1,1,0,24
PETRA-00082,Male,0,11,90.12,1365.00,Two year,No,0,Bank transfer,0,0,0,24
PETRA-00083,Female,0,2,99.46,150.48,One year,Fiber optic,3,Credit card,1,0,0,12
PETRA-00084,Female,0,1,88.37,103.72,Month-to-month,DSL,3,Credit card,0,0,0,1
PETRA-00085,Female,0,61,43.10,653.53,Two year,Fiber optic,1,Electronic check,0,0,0,24
PETRA-00086,Male,1,5,29.58,146.50,Month-to-month,DSL,2,Bank transfer,0,0,1,1
PETRA-00087,Male,0,13,70.70,1124.24,Month-to-month,No,0,Credit card,1,0,0,1
PETRA-00088,Female,0,8,54.60,140.18,One year,No,0,Bank transfer,1,0,0,12
PETRA-00089,Female,0,5,54.95,553.34,Month-to-month,Fiber optic,1,Credit card,1,0,0,1
PETRA-00090,Male,0,23,60.55,0.00,One year,Fiber optic,1,Bank transfer,1,0,0,12
PETRA-00091,Female,0,7,88.46,852.20,Two year,Fiber optic,0,Electronic check,1,0,0,24
PETRA-00092,Female,0,17,31.35,0.00,One year,Fiber optic,1,Mailed check,1,0,0,12
PETRA-00093,Male,0,22,41.31,746.61,Month-to-month,DSL,1,Credit card,0,0,0,1
PETRA-00094,Female,0,49,87.68,5739.09,Month-to-month,No,2,Mailed check,1,0,0,1
PETRA-00095,Male,0,1,87.91,144.92,Month-to-month,DSL,2,Mailed check,0,0,0,1
PETRA-00096,Male,1,14,83.14,1078.08,Month-to-month,DSL,1,Electronic check,0,1,0,1
PETRA-00097,Female,0,3,35.11,86.01,One year,DSL,0,Mailed check,0,0,1,12
PETRA-00098,Female,0,22,54.78,1683.98,One year,No,2,Credit card,0,0,0,12
PETRA-00099,Male,0,31,75.38,3891.74,One year,No,0,Credit card,1,1,0,12
PETRA-00100,Female,0,5,47.77,469.53,One year,DSL,0,Electronic check,1,0,0,12
PETRA-00101,Male,1,15,65.97,95.42,Month-to-month,DSL,1,Bank transfer,0,0,0,1
PETRA-00102,Female,0,29,67.14,1673.64,Month-to-month,No,0,Bank transfer,1,0,0,1
PETRA-00103,Male,0,7,41.87,0.00,One year,Fiber optic,1,Credit card,0,0,0,12
PETRA-00104,Female,0,22,27.98,26.32,Month-to-month,No,3,Credit card,0,0,0,1
PETRA-00105,Female,0,18,48.01,438.24,Month-to-month,No,0,Credit card,0,0,0,1
PETRA-00106,Female,0,44,64.75,4574.40,One year,Fiber optic,1,Credit card,0,0,0,12
PETRA-00107,Female,0,19,66.61,839.58,Month-to-month,DSL,2,Mailed check,0,1,0,1
PETRA-00108,Male,1,8,36.60,233.59,Month-to-month,Fiber optic,0,Credit card,0,0,0,1
PETRA-00109,Female,0,8,57.00,551.74,Month-to-month,No,1,Electronic check,0,0,0,1
PETRA-00110,Male,0,36,54.76,1046.10,Month-to-month,Fiber optic,3,Credit card,0,1,0,1
PETRA-00111,Female,0,54,32.68,0.00,One year,No,0,Bank transfer,1,0,0,12
PETRA-00112,Female,0,5,69.28,165.54,Month-to-month,Fiber optic,1,Mailed check,0,1,0,1
PETRA-00113,Male,1,72,28.05,1848.89,Two year,No,2,Credit card,0,0,0,24
PETRA-00114,Female,0,9,83.75,1000.94,Month-to-month,Fiber optic,0,Credit card,1,0,0,1
PETRA-00115,Female,0,8,24.26,166.06,Month-to-month,DSL,1,Electronic check,0,1,0,1
PETRA-00116,Male,0,6,57.10,450.95,Month-to-month,Fiber optic,1,Credit card,1,0,0,1
PETRA-00117,Male,0,12,59.57,1177.52,Two year,DSL,2,Credit card,0,1,0,24
PETRA-00118,Male,0,18,21.82,700.90,Month-to-month,Fiber optic,1,Mailed check,1,0,0,1
PETRA-00119,Male,0,72,89.65,7233.67,One year,No,1,Bank transfer,1,1,0,12
PETRA-00120,Male,0,23,79.83,374.56,Two year,DSL,1,Electronic check,1,0,0,24
PETRA-00121,Female,0,3,61.47,23.69,Month-to-month,No,1,Credit card,1,0,0,1
PETRA-00122,Female,0,33,20.13,128.69,Month-to-month,DSL,0,Credit card,0,0,0,1
PETRA-00123,Male,0,4,20.00,0.00,One year,Fiber optic,1,Bank transfer,0,1,1,12
PETRA-00124,Female,0,29,57.04,1769.16,Two year,No,2,Electronic check,0,0,0,24
PETRA-00125,Female,0,8,78.67,1460.91,Month-to-month,Fiber optic,1,Credit card,1,0,0,1
PETRA-00126,Male,1,10,98.42,1130.14,Two year,No,6,Mailed check,0,1,0,24
PETRA-00127,Female,0,12,78.95,891.72,One year,No,3,Electronic check,0,0,0,12
PETRA-00128,Female,0,33,71.33,3938.88,Two year,Fiber optic,1,Bank transfer,1,0,0,24
PETRA-00129,Female,0,13,34.09,186.14,Month-to-month,Fiber optic,1,Bank transfer,0,0,0,1
PETRA-00130,Female,0,72,50.12,6240.59,Month-to-month,DSL,3,Electronic check,0,0,1,1
PETRA-00131,Female,0,9,57.90,874.22,Month-to-month,Fiber optic,1,Electronic check,1,0,0,1
PETRA-00132,Male,0,2,59.76,124.45,Two year,DSL,1,Credit card,0,0,0,24
PETRA-00133,Female,0,63,90.41,14043.97,Month-to-month,No,1,Mailed check,1,0,0,1
PETRA-00134,Female,0,55,65.45,6409.89,One year,Fiber optic,3,Bank transfer,1,0,0,12
PETRA-00135,Male,0,10,35.66,367.88,Month-to-month,Fiber optic,0,Mailed check,1,0,0,1
PETRA-00136,Female,1,1,41.90,30.40,Month-to-month,No,0,Mailed check,0,0,0,1
PETRA-00137,Male,0,5,70.52,245.98,Month-to-month,DSL,2,Credit card,0,1,0,1
PETRA-00138,Male,0,20,28.08,510.16,One year,No,1,Bank transfer,1,0,0,12
PETRA-00139,Male,0,11,95.31,973.71,Month-to-month,DSL,1,Bank transfer,1,0,0,1
PETRA-00140,Female,0,71,71.52,3942.11,Two year,DSL,2,Bank transfer,1,0,0,24
PETRA-00141,Male,0,28,57.06,1358.29,One year,Fiber optic,1,Electronic check,0,0,0,12
PETRA-00142,Male,0,11,112.36,204.25,Two year,DSL,1,Credit card,0,1,0,24
PETRA-00143,Male,0,0,34.76,0.00,One year,Fiber optic,1,Electronic check,0,0,1,12
PETRA-00144,Female,0,72,54.18,0.00,One year,Fiber optic,1,Mailed check,0,1,0,12
PETRA-00145,Female,1,13,48.29,809.96,One year,No,1,Mailed check,0,0,0,12
PETRA-00146,Male,0,42,42.86,1900.80,Month-to-month,DSL,4,Credit card,1,1,1,1
PETRA-00147,Male,0,6,24.32,133.37,Month-to-month,DSL,1,Mailed check,0,1,0,1
PETRA-00148,Female,0,1,87.39,158.29,Two year,DSL,1,Credit card,1,0,0,24
PETRA-00149,Male,0,4,105.86,167.48,Month-to-month,Fiber optic,1,Bank transfer,1,1,1,1
PETRA-00150,Female,0,42,32.26,680.70,Month-to-month,DSL,0,Credit card,0,1,0,1
PETRA-00151,Male,0,3,126.17,0.00,One year,DSL,3,Electronic check,1,0,0,12
PETRA-00152,Female,0,64,41.22,4526.84,Two year,No,2,Credit card,1,0,0,24
PETRA-00153,Male,1,41,86.65,5058.56,Month-to-month,No,1,Credit card,0,0,0,1
PETRA-00154,Male,0,21,71.24,2888.32,Two year,No,1,Bank transfer,0,0,0,24
PETRA-00155,Female,0,5,62.15,655.04,Month-to-month,DSL,3,Mailed check,1,0,0,1
PETRA-00156,Male,0,3,74.98,158.13,Month-to-month,Fiber optic,2,Bank transfer,1,0,0,1
PETRA-00157,Female,0,7,31.45,110.54,Two year,DSL,2,Electronic check,1,0,0,24
PETRA-00158,Female,0,24,99.88,0.00,Month-to-month,Fiber optic,1,Electronic check,1,0,0,1
PETRA-00159,Female,1,14,37.38,121.10,One year,Fiber optic,4,Bank transfer,0,0,0,12
PETRA-00160,Female,0,16,95.94,1185.93,Two year,No,2,Credit card,1,0,0,24
PETRA-00161,Female,1,36,47.50,0.00,Month-to-month,Fiber optic,0,Credit card,1,0,0,1
PETRA-00162,Male,0,10,20.00,49.17,Month-to-month,DSL,1,Bank transfer,1,1,1,1
PETRA-00163,Male,0,20,36.17,681.46,Two year,Fiber optic,1,Mailed check,1,0,0,24
PETRA-00164,Male,0,6,56.59,551.85,One year,No,2,Credit card,1,1,0,12
PETRA-00165,Female,0,12,48.82,291.75,Two year,DSL,3,Electronic check,1,1,0,24
PETRA-00166,Male,0,0,54.95,10.24,Two year,No,2,Electronic check,0,1,1,24
PETRA-00167,Male,0,0,87.56,149.10,One year,DSL,0,Mailed check,1,0,0,12
PETRA-00168,Male,0,2,62.18,0.00,Month-to-month,DSL,1,Credit card,0,1,0,1
PETRA-00169,Male,1,5,69.05,607.66,Month-to-month,No,3,Mailed check,1,1,0,1
PETRA-00170,Male,0,1,71.51,101.97,Month-to-month,DSL,1,Electronic check,1,1,0,1
PETRA-00171,Male,0,26,60.09,2947.52,Month-to-month,Fiber optic,0,Bank transfer,1,0,0,1
PETRA-00172,Female,0,47,114.02,8985.65,Two year,DSL,1,Electronic check,0,0,0,24
PETRA-00173,Female,0,0,60.54,0.00,Two year,Fiber optic,0,Credit card,1,0,0,24
PETRA-00174,Female,1,48,41.64,2001.36,Two year,Fiber optic,0,Electronic check,0,0,0,24
PETRA-00175,Male,0,0,60.86,0.00,Two year,No,0,Electronic check,0,0,0,24
PETRA-00176,Female,0,4,35.57,90.19,Month-to-month,No,4,Electronic check,0,1,1,1
PETRA-00177,Male,0,60,25.72,1575.06,Month-to-month,Fiber optic,0,Mailed check,1,0,0,1
PETRA-00178,Female,0,14,49.49,840.07,Month-to-month,Fiber optic,1,Electronic check,0,0,0,1
PETRA-00179,Female,0,0,93.81,63.15,One year,DSL,1,Credit card,1,1,0,12
PETRA-00180,Female,0,37,21.17,1651.31,Two year,Fiber optic,1,Credit card,0,0,0,24
PETRA-00181,Male,0,11,23.48,179.52,Two year,Fiber optic,2,Mailed check,1,0,0,24
PETRA-00182,Male,0,25,44.14,1987.81,Two year,DSL,4,Electronic check,1,1,0,24
PETRA-00183,Female,0,32,75.61,2872.13,Month-to-month,No,1,Mailed check,1,1,0,1
PETRA-00184,Male,0,9,87.21,66.57,Month-to-month,DSL,0,Bank transfer,1,0,0,1
PETRA-00185,Male,1,72,78.74,5072.18,Month-to-month,DSL,3,Bank transfer,1,0,1,1
PETRA-00186,Male,0,4,66.57,287.88,One year,No,1,Mailed check,1,0,0,12
PETRA-00187,Male,0,72,38.77,1156.61,Month-to-month,Fiber optic,0,Electronic check,1,0,0,1
PETRA-00188,Male,0,38,101.78,1050.50,Two year,Fiber optic,1,Bank transfer,0,1,0,24
PETRA-00189,Male,0,3,58.24,43.35,Month-to-month,DSL,0,Credit card,0,1,0,1
PETRA-00190,Female,1,0,63.53,0.00,One year,Fiber optic,1,Mailed check,1,0,0,12
PETRA-00191,Female,0,6,65.24,154.53,Two year,Fiber optic,0,Electronic check,0,0,0,24
PETRA-00192,Female,0,3,76.60,427.73,Month-to-month,DSL,2,Bank transfer,1,0,0,1
PETRA-00193,Male,0,1,50.95,0.00,One year,Fiber optic,0,Bank transfer,1,0,0,12
PETRA-00194,Female,0,32,54.21,1869.78,Two year,DSL,1,Credit card,0,0,0,24
PETRA-00195,Male,0,36,110.63,5455.54,Two year,DSL,4,Bank transfer,1,0,0,24
PETRA-00196,Male,0,1,56.76,0.00,Month-to-month,DSL,2,Credit card,1,1,0,1
PETRA-00197,Male,0,3,77.16,193.90,One year,DSL,3,Credit card,1,0,0,12
PETRA-00198,Male,0,47,27.93,998.27,Month-to-month,DSL,3,Electronic check,1,0,1,1
PETRA-00199,Female,0,15,53.40,757.64,Month-to-month,Fiber optic,3,Bank transfer,1,0,0,1
PETRA-00200,Male,0,52,78.48,5974.97,Month-to-month,Fiber optic,1,Electronic check,1,1,0,1
PETRA-00201,Female,0,2,63.37,177.62,One year,DSL,4,Bank transfer,1,1,0,12
PETRA-00202,Male,0,59,53.30,1823.88,Month-to-month,Fiber optic,1,Credit card,0,0,1,1
PETRA-00203,Female,0,10,105.65,0.00,One year,DSL,1,Bank transfer,1,0,1,12
PETRA-00204,Male,0,14,52.33,817.29,Month-to-month,Fiber optic,2,Credit card,1,1,0,1
PETRA-00205,Male,0,10,40.51,218.90,Month-to-month,No,3,Electronic check,0,0,1,1
PETRA-00206,Female,0,0,40.40,0.00,One year,Fiber optic,0,Mailed check,0,0,1,12
PETRA-00207,Female,0,3,23.62,88.75,Month-to-month,Fiber optic,1,Electronic check,1,0,1,1
PETRA-00208,Male,0,10,39.28,273.18,Month-to-month,DSL,2,Electronic check,0,1,1,1
PETRA-00209,Female,0,7,72.63,617.54,Month-to-month,DSL,3,Mailed check,1,0,1,1
PETRA-00210,Male,1,31,32.85,2810.01,Month-to-month,Fiber optic,1,Electronic check,0,0,0,1
PETRA-00211,Female,0,5,65.89,487.63,Month-to-month,Fiber optic,4,Bank transfer,0,0,1,1
PETRA-00212,Female,0,49,77.37,7360.51,Two year,Fiber optic,1,Electronic check,1,0,0,24
PETRA-00213,Male,0,1,56.29,97.16,One year,No,2,Bank transfer,0,0,0,12
